Codebase,Feature,Type,Cluster,Entities,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,SearchController.getVirtualEditions,QUERY,1,"VirtualEdition, ",0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,3.000000,0.500000,0
ldod-static,SearchController.getVirtualEditions,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,0.250000,0
ldod-static,SearchController.getVirtualEditions,QUERY,0,"LdoD, ",0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,0.250000,1
ldod-static,VirtualEditionController.createClassificationGame,SAGA,3,"ClassificationGame, ",1.000000,0.000000,0.000000,1.000000,0.333333,0.272727,0.450000,0.272727,1
ldod-static,VirtualEditionController.createClassificationGame,SAGA,1,"VirtualEdition, VirtualEditionInter, Taxonomy, ",0.500000,0.500000,0.666667,0.333333,0.444444,0.545455,0.750000,0.545455,0
ldod-static,VirtualEditionController.createClassificationGame,SAGA,2,"LdoDUser, ",0.500000,0.500000,0.500000,0.500000,0.222222,0.181818,1.800000,0.181818,0
ldod-static,VirtualEditionController.generateTopicModelling,QUERY,1,"Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,1.500000,0.500000,0
ldod-static,VirtualEditionController.generateTopicModelling,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.166667,0.071429,0.000000,0.071429,1
ldod-static,VirtualEditionController.generateTopicModelling,QUERY,0,"ExpertEditionInter, FragInter, Fragment, SourceInter, ",0.000000,1.000000,1.000000,0.000000,0.333333,0.428571,1.500000,0.428571,0
ldod-static,FragmentController.getTaxonomy,SAGA,1,"Member, Section, VirtualEdition, VirtualEditionInter, ",0.400000,0.600000,0.750000,0.250000,0.454545,0.571429,1.333333,0.571429,0
ldod-static,FragmentController.getTaxonomy,SAGA,2,"LdoDUser, ",0.400000,0.600000,0.600000,0.400000,0.454545,0.357143,1.666667,0.357143,0
ldod-static,FragmentController.getTaxonomy,SAGA,0,"LdoD, ",0.000000,1.000000,1.000000,0.000000,0.090909,0.071429,0.000000,0.071429,1
ldod-static,VirtualEditionController.switchRole,SAGA,1,"Member, VirtualEdition, ",0.250000,0.750000,0.857143,0.142857,0.500000,0.636364,1.714286,0.636364,0
ldod-static,VirtualEditionController.switchRole,SAGA,0,"LdoD, ",0.000000,1.000000,1.000000,0.000000,0.125000,0.090909,0.000000,0.090909,1
ldod-static,VirtualEditionController.switchRole,SAGA,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.375000,0.272727,1.285714,0.272727,0
ldod-static,VirtualEditionController.approveParticipant,SAGA,1,"Member, VirtualEdition, ",0.333333,0.666667,0.750000,0.250000,0.500000,0.571429,1.800000,0.571429,0
ldod-static,VirtualEditionController.approveParticipant,SAGA,0,"LdoD, ",0.000000,1.000000,1.000000,0.000000,0.166667,0.142857,0.000000,0.142857,1
ldod-static,VirtualEditionController.approveParticipant,SAGA,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.333333,0.285714,1.200000,0.285714,0
ldod-static,VirtualEditionController.listVirtualEdition,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.333333,0.238095,1.372881,0.238095,0
ldod-static,VirtualEditionController.listVirtualEdition,QUERY,1,"Member, VirtualEdition, ",0.000000,1.000000,1.000000,0.000000,0.400000,0.333333,0.610170,0.333333,1
ldod-static,VirtualEditionController.listVirtualEdition,QUERY,0,"ExpertEdition, LdoD, Edition, ",0.000000,1.000000,1.000000,0.000000,0.266667,0.428571,1.016949,0.428571,0
ldod-static,FragmentController.searchAnnotations,QUERY,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.000000,1.000000,1.000000,0.000000,0.500000,0.769231,1.200000,0.769231,1
ldod-static,FragmentController.searchAnnotations,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.416667,0.192308,1.800000,0.192308,0
ldod-static,FragmentController.searchAnnotations,QUERY,0,"FragInter, ",0.000000,1.000000,1.000000,0.000000,0.083333,0.038462,0.000000,0.038462,0
ldod-static,ClassificationGameController.end,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.666667,0.333333,0.722222,0.277778,0.461538,0.529412,0.670807,0.529412,1
ldod-static,ClassificationGameController.end,SAGA,2,"LdoDUser, ",0.250000,0.750000,0.750000,0.250000,0.307692,0.117647,1.490683,0.117647,0
ldod-static,ClassificationGameController.end,SAGA,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",0.666667,0.333333,0.500000,0.500000,0.230769,0.352941,0.838509,0.352941,0
ldod-static,RecommendationController.setLinearVirtualEdition,SAGA,0,"ExpertEdition, LdoD, Edition, ",0.000000,1.000000,1.000000,0.000000,0.333333,0.272727,1.105263,0.272727,0
