Codebase,Feature,Orchestrator,Entities,Type,Initial System Complexity,Final System Complexity,System Complexity Reduction,Initial Inconsistency Complexity,Final Inconsistency Complexity,Inconsistency Complexity Reduction,Initial Functionality Complexity,Final Functionality Complexity,Functionality Complexity Reduction
ldod-static,AdminController.loadUsersXML,3,"Player, ",SAGA,617,155,462,0,6,-6,150,6,144
ldod-static,VirtualEditionController.approveParticipant,0,"LdoD, ",SAGA,28,29,-1,0,41,-41,10,100,-90
ldod-static,VirtualEditionController.switchRole,0,"LdoD, ",SAGA,28,29,-1,0,0,0,93,101,-8
ldod-static,VirtualEditionController.dissociate,0,"SimpleText, ",SAGA,1570,446,1124,0,4,-4,390,14,376
ldod-static,RecommendationController.setLinearVirtualEdition,2,"LdoDUser, ",SAGA,141,55,86,0,0,0,132,169,-37
ldod-static,RecommendationController.presentEditionWithRecommendation,2,"LdoDUser, ",SAGA,141,55,86,0,13,-13,221,163,58
ldod-static,FragmentController.getFragmentWithInterForUrlId,1,"Member, Section, VirtualEdition, VirtualEditionInter, ",SAGA,254,72,182,0,28,-28,460,229,231
ldod-static,VirtualEditionController.addParticipant,0,"LdoD, ",SAGA,183,158,25,0,0,0,48,25,23
ldod-static,FragmentController.createAnnotation,0,"ExpertEdition, SimpleText, LdoD, Edition, ",SAGA,679,227,452,0,41,-41,794,102,692
ldod-static,VirtualEditionController.createClassificationGame,3,"ClassificationGame, ",SAGA,265,208,57,0,0,0,11,30,-19
ldod-static,VirtualEditionController.removeClassificationGame,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",SAGA,651,385,266,0,36,-36,82,11,71
ldod-static,VirtualEditionController.deleteCategory,2,"LdoDUser, ",SAGA,714,440,274,0,0,0,181,12,169
ldod-static,ClassificationGameController.end,2,"LdoDUser, ",SAGA,364,285,79,0,13,-13,356,106,250
ldod-static,AdminController.removeTweets,0,"FragInter, Fragment, LdoD, ",SAGA,390,335,55,0,6,-6,55,13,42
ldod-static,FragmentController.getTaxonomy,0,"LdoD, ",SAGA,254,72,182,0,6,-6,25,81,-56
ldod-static,VirtualEditionController.createVirtualEdition,2,"LdoDUser, ",SAGA,1862,446,1416,0,41,-41,1866,20,1846
ldod-static,RecommendationController.createLinearVirtualEdition,0,"ExpertEdition, ExpertEditionInter, FragInter, Fragment, NullEdition, SourceInter, Heteronym, LdoD, Edition, LdoDDate, ",SAGA,2914,495,2419,0,0,0,2694,106,2588
ldod-static,VirtualEditionController.deleteTaxonomy,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,900,387,513,0,42,-42,172,11,161
ldod-static,VirtualEditionController.mergeCategories,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,1433,382,1051,0,13,-13,447,11,436
ldod-static,FragmentController.updateAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,1127,85,1042,0,18,-18,686,102,584
ldod-static,FragmentController.deleteAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,900,437,463,0,15,-15,360,14,346
ldod-static,SignupController.signup,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,2837,560,2277,0,42,-42,1107,19,1088
ldod-static,VirtualEditionController.editVirtualEdition,4,"TimeWindow, Tweet, MediaSource, TwitterCitation, Frequency, SocialMediaCriteria, GeographicLocation, AwareAnnotation, Citation, InfoRange, ",SAGA,1488,296,1192,0,4,-4,1234,115,1119
ldod-static,AdminController.removeUser,0,"LdoD, ",SAGA,2430,549,1881,0,13,-13,556,19,537
ldod-static,AdminController.loadVirtualFragments,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,2516,539,1977,0,0,0,805,55,750
ldod-static,VirtualEditionController.associateCategory,0,"ExpertEdition, FragInter, SimpleText, LdoD, Edition, ",SAGA,2014,436,1578,0,41,-41,174,103,71
ldod-static,RecommendationController.saveLinearVirtualEdition,4,"Citation, InfoRange, ",SAGA,4974,750,4224,0,2,-2,959,58,901
ldod-static,VirtualEditionController.reorderVirtualEdition,4,"Citation, InfoRange, ",SAGA,3394,749,2645,0,4,-4,304,59,245
