Codebase,Feature,Orchestrator,Entities,Type,Initial System Complexity,Final System Complexity,Redesign Complexity
ldod-static,VirtualEditionController.approveParticipant,1,"Member, VirtualEdition, ",SAGA,28,29,149
ldod-static,VirtualEditionController.approveParticipant,0,"LdoD, ",SAGA,28,28,100
ldod-static,AdminController.exportUsers,3,"Player, ",QUERY,0,0,103
ldod-static,AdminController.exportUsers,0,"LdoD, ",QUERY,0,0,126
ldod-static,SearchController.getVirtualEditions,0,"LdoD, ",QUERY,0,0,100
ldod-static,SearchController.getVirtualEditions,1,"VirtualEdition, ",QUERY,0,0,100
ldod-static,VirtualEditionController.listVirtualEdition,1,"Member, VirtualEdition, ",QUERY,0,0,124
ldod-static,VirtualEditionController.listVirtualEdition,2,"LdoDUser, ",QUERY,0,0,168
ldod-static,VirtualEditionController.removeClassificationGame,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",SAGA,651,384,11
ldod-static,VirtualEditionController.removeClassificationGame,2,"LdoDUser, ",SAGA,651,383,11
ldod-static,ClassificationGameController.end,2,"LdoDUser, ",SAGA,364,289,149
ldod-static,ClassificationGameController.end,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,364,261,156
ldod-static,VirtualEditionController.addParticipant,0,"LdoD, ",SAGA,183,155,25
ldod-static,VirtualEditionController.addParticipant,2,"LdoDUser, ",SAGA,183,155,73
ldod-static,AdminController.loadUsersXML,3,"Player, ",SAGA,617,156,6
ldod-static,AdminController.loadUsersXML,0,"LdoD, ",SAGA,617,226,30
ldod-static,ClassificationGameController.getActiveGames,3,"ClassificationGame, ",QUERY,0,0,161
ldod-static,ClassificationGameController.getActiveGames,0,"LdoD, ",QUERY,0,0,186
ldod-static,VirtualEditionController.switchRole,0,"LdoD, ",SAGA,28,29,101
ldod-static,VirtualEditionController.switchRole,2,"LdoDUser, ",SAGA,28,29,129
ldod-static,VirtualEditionController.createClassificationGame,3,"ClassificationGame, ",SAGA,265,211,31
ldod-static,VirtualEditionController.createClassificationGame,1,"VirtualEdition, VirtualEditionInter, Taxonomy, ",SAGA,265,211,67
ldod-static,VirtualEditionController.deleteTaxonomy,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,900,382,11
ldod-static,VirtualEditionController.deleteTaxonomy,2,"LdoDUser, ",SAGA,900,438,12
ldod-static,EditionController.getUserContributions,1,"VirtualEdition, ",QUERY,0,0,164
ldod-static,EditionController.getUserContributions,3,"Player, ClassificationGame, ClassificationGameParticipant, ",QUERY,0,0,214
ldod-static,RecommendationController.presentEditionWithRecommendation,2,"LdoDUser, ",SAGA,141,55,169
