Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,FragmentController.getTaxonomy,1,0.400000,0.600000,0.750000,0.250000,0.454545,0.571429,1.333333,1.333333,0
ldod-static,FragmentController.getTaxonomy,2,0.400000,0.600000,0.600000,0.400000,0.454545,0.357143,1.666667,0.833333,1
ldod-static,FragmentController.getTaxonomy,0,0.000000,1.000000,1.000000,0.000000,0.090909,0.071429,0.000000,0.833333,0
ldod-static,VirtualEditionController.addParticipant,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.600000,1.714286,1.285714,0
ldod-static,VirtualEditionController.addParticipant,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.100000,0.000000,0.857143,1
ldod-static,VirtualEditionController.addParticipant,2,0.333333,0.666667,0.666667,0.333333,0.375000,0.300000,1.285714,0.857143,0
ldod-static,RecommendationController.setLinearVirtualEdition,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.272727,1.105263,0.931034,0
ldod-static,RecommendationController.setLinearVirtualEdition,1,0.333333,0.666667,0.785714,0.214286,0.500000,0.636364,0.473684,1.448276,0
ldod-static,RecommendationController.setLinearVirtualEdition,2,0.500000,0.500000,0.500000,0.500000,0.166667,0.090909,1.421053,0.620690,1
ldod-static,RecommendationController.presentEditionWithRecommendation,2,0.500000,0.500000,0.500000,0.500000,0.181818,0.105263,1.500000,0.692308,0
ldod-static,RecommendationController.presentEditionWithRecommendation,0,0.000000,1.000000,1.000000,0.000000,0.272727,0.157895,1.000000,0.692308,0
ldod-static,RecommendationController.presentEditionWithRecommendation,1,0.333333,0.666667,0.785714,0.214286,0.545455,0.736842,0.500000,1.615385,1
ldod-static,VirtualEditionController.approveParticipant,1,0.333333,0.666667,0.750000,0.250000,0.500000,0.571429,1.800000,1.200000,0
ldod-static,VirtualEditionController.approveParticipant,0,0.000000,1.000000,1.000000,0.000000,0.166667,0.142857,0.000000,0.900000,1
ldod-static,VirtualEditionController.approveParticipant,2,0.000000,1.000000,1.000000,0.000000,0.333333,0.285714,1.200000,0.900000,0
ldod-static,AdminController.loadUsersXML,0,0.363636,0.636364,0.636364,0.363636,0.440000,0.343750,1.150134,0.750000,0
ldod-static,AdminController.loadUsersXML,2,0.833333,0.166667,0.333333,0.666667,0.480000,0.562500,0.965147,1.125000,0
ldod-static,AdminController.loadUsersXML,3,1.000000,0.000000,0.333333,0.666667,0.080000,0.093750,0.884718,1.125000,1
ldod-static,VirtualEditionController.switchRole,2,0.000000,1.000000,1.000000,0.000000,0.375000,0.272727,1.285714,0.800000,0
ldod-static,VirtualEditionController.switchRole,1,0.250000,0.750000,0.857143,0.142857,0.500000,0.636364,1.714286,1.400000,0
ldod-static,VirtualEditionController.switchRole,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.090909,0.000000,0.800000,1
